Ticket ID|Subject|Full_Ticket_Text|Issue Type|Assigned Team|Severity|Preprocessed_Text
27|Request for temporary admin rights|I need temporary local administrator rights on my machine for 2 hours to install a legacy application required for a specific client project. Please contact me before granting.|Account/Access|Security & Access|Low|request temporary admin rights need temporary local administrator rights machine hours install legacy application required specific client project please contact granting
28|DNS resolution failure for internal domains|Users in the London office cannot resolve internal hostnames like 'fileserver' or 'intranet'. External websites are fine. Possible DNS server issue.|Network|Networking|Critical|dns resolution failure internal domains users london office cannot resolve internal hostnames like fileserver intranet external websites fine possible dns server issue
29|Excessive CPU load on reporting server|The server dedicated to running business intelligence reports is showing 100% CPU utilization, causing all report generation to fail or time out.|Database|Database Ops|High|excessive cpu load reporting server server dedicated running business intelligence reports showing cpu utilization causing report generation fail time
30|Slack notifications not popping up|I am not receiving desktop notifications for new messages in Slack, even though my settings are configured correctly. I often miss urgent communications.|Software|Application Support|Low|slack notifications popping receiving desktop notifications new messages slack even though settings configured correctly often miss urgent communications
31|Webcam showing inverted image|My integrated laptop webcam is showing an upside-down image in all conferencing applications. This happened after a recent Windows driver update.|Hardware|Desktop Support|Low|webcam showing inverted image integrated laptop webcam showing upsidedown image conferencing applications happened recent windows driver update
32|Unlock user account after multiple failed logins|User JSmith is locked out of his Active Directory account after failing to log in multiple times this morning. Please unlock the account and confirm with the user.|Account/Access|Security & Access|Low|unlock user account multiple failed logins user jsmith locked active directory account failing log multiple times morning please unlock account confirm user
33|New network segment inaccessible|After the new firewall rule deployment, the new 'IoT' network segment cannot route to the main internal network. All devices on that segment are isolated.|Network|Networking|High|new network segment inaccessible new firewall rule deployment new iot network segment cannot route main internal network devices segment isolated
34|Schema migration failed in QA environment|The latest schema change script failed to execute in the QA environment with a foreign key constraint violation. Need a DBA to inspect the script and the existing data structure.|Database|Database Ops|Medium|schema migration failed qa environment latest schema change script failed execute qa environment foreign key constraint violation need dba inspect script existing data structure
35|Licensing error for AutoCAD|When launching AutoCAD, I get a 'License Expired or Missing' error. I am an active license holder. Need the application license checked and reapplied.|Software|Application Support|Medium|licensing error autocad launching autocad get license expired missing error active license holder need application license checked reapplied
36|Dead pixel on screen|There is one single, bright green dead pixel in the center of my screen which is extremely distracting. Requesting a monitor exchange.|Hardware|Desktop Support|Low|dead pixel screen one single bright green dead pixel center screen extremely distracting requesting monitor exchange
37|Elevated access request for new project|Requesting security group membership for the 'Project Phoenix' access group for my entire team (5 users). Needs Manager approval first.|Account/Access|Security & Access|Low|elevated access request new project requesting security group membership project phoenix access group entire team users needs manager approval first
38|Spanning Tree Protocol loop detected|Network monitoring is showing a major STP loop between switches SWA01 and SWA03. This is causing network instability and broadcast storms. Immediate fix needed.|Network|Networking|Critical|spanning tree protocol loop detected network monitoring showing major stp loop switches swa swa causing network instability broadcast storms immediate fix needed
39|Inaccurate data in daily report|The 'Daily Sales Volume' report is showing numbers that are clearly too low. Suspect an issue with the underlying ETL process or data transformation query.|Database|Database Ops|Medium|inaccurate data daily report daily sales volume report showing numbers clearly low suspect issue underlying etl process data transformation query
40|System slows down when running PowerPoint|My laptop becomes extremely sluggish when I launch and use PowerPoint, but it's fine with all other applications. I've disabled hardware acceleration.|Software|Application Support|Low|system slows running powerpoint laptop becomes extremely sluggish launch use powerpoint fine applications ive disabled hardware acceleration
41|External mouse erratic movement|The cursor from my wireless mouse jumps around the screen randomly, even on a clean mousepad. I have replaced the batteries with new ones.|Hardware|Desktop Support|Low|external mouse erratic movement cursor wireless mouse jumps around screen randomly even clean mousepad replaced batteries new ones
42|Disabled account reactivation for returning employee|Former employee B. Johnson is returning for a 6-month contract. Need to re-enable her old AD and email account. Start date is next Monday.|Account/Access|Security & Access|Low|disabled account reactivation returning employee former employee b johnson returning month contract need reenable old ad email account start date next monday
43|High latency to cloud resources|We are seeing 500ms+ latency when accessing our AWS S3 buckets from the main office. This should typically be under 50ms. Potential peering or BGP issue.|Network|Networking|High|high latency cloud resources seeing ms latency accessing aws buckets main office typically ms potential peering bgp issue
44|Index fragmentation causing slow writes|Database write operations are becoming noticeably slower due to high index fragmentation on several large tables. Need a maintenance plan review and index rebuild.|Database|Database Ops|Medium|index fragmentation causing slow writes database write operations becoming noticeably slower due high index fragmentation several large tables need maintenance plan review index rebuild
45|Chrome browser freezing intermittently|Chrome freezes for 5-10 seconds every time I open a new tab or click a link. It is not an issue in Firefox. I've cleared cache and cookies.|Software|Application Support|Low|chrome browser freezing intermittently chrome freezes seconds every time open new tab click link issue firefox ive cleared cache cookies
46|Broken headphone jack on desktop|The audio jack on the front of my desktop tower is physically broken (the tip of the plug is stuck inside). I need to use headphones for calls.|Hardware|Desktop Support|Medium|broken headphone jack desktop audio jack front desktop tower physically broken tip plug stuck inside need use headphones calls
47|Shared mailbox unable to send emails|The 'support@company.com' shared mailbox can receive emails, but users who have full access permissions cannot send new emails from it. Error is 'You do not have permission'.|Account/Access|Security & Access|Medium|shared mailbox unable send emails supportcompanycom shared mailbox receive emails users full access permissions cannot send new emails error permission
48|VoIP phones losing registration|All desk phones in the marketing department have lost their SIP registration and show 'No Service'. Check PoE switch and VLAN configuration for that segment.|Network|Networking|High|voip phones losing registration desk phones marketing department lost sip registration show service check poe switch vlan configuration segment
49|Unauthorized data access detected|Security team alerts indicate a possible unauthorized read attempt on a restricted financial data table from an unknown IP address. Immediate investigation required.|Database|Database Ops|Critical|unauthorized data access detected security team alerts indicate possible unauthorized read attempt restricted financial data table unknown ip address immediate investigation required
50|Salesforce integration failure|Our custom-built integration between Salesforce and the accounting system has failed to sync data for the past 4 hours. No new orders are being processed.|Software|Application Support|Critical|salesforce integration failure custombuilt integration salesforce accounting system failed sync data past hours new orders processed
51|Faulty power supply unit (PSU)|My desktop PC will not power on at all. There are no lights and no fan spin when I press the power button. I suspect the power supply unit failed.|Hardware|Desktop Support|High|faulty power supply unit psu desktop pc power lights fan spin press power button suspect power supply unit failed
52|Mass password reset for compromised accounts|A list of 50 employee credentials was found on the dark web. We need to force a mass, immediate password reset for all affected accounts.|Account/Access|Security & Access|Critical|mass password reset compromised accounts list employee credentials found dark web need force mass immediate password reset affected accounts
53|Subnet mask misconfiguration|I believe the subnet mask on the new server farm has been incorrectly set to /25 instead of /24, causing communication issues with the default gateway.|Network|Networking|Medium|subnet mask misconfiguration believe subnet mask new server farm incorrectly set instead causing communication issues default gateway
54|Deadlock contention in high-volume process|A critical stored procedure for processing transactions is frequently hitting deadlocks, causing rollbacks and data loss for a fraction of users. Must be resolved immediately.|Database|Database Ops|Critical|deadlock contention highvolume process critical stored procedure processing transactions frequently hitting deadlocks causing rollbacks data loss fraction users must resolved immediately
55|Issue with Adobe Acrobat text selection|In Adobe Acrobat Pro, I can no longer select text or use the highlight tool. It works fine in the Reader version. Possible software corruption.|Software|Application Support|Low|issue adobe acrobat text selection adobe acrobat pro longer select text use highlight tool works fine reader version possible software corruption
56|Scratched laptop screen replacement|My laptop screen has a deep scratch near the top right corner. It is a distraction during work. Requesting a screen replacement.|Hardware|Desktop Support|Medium|scratched laptop screen replacement laptop screen deep scratch near top right corner distraction work requesting screen replacement
57|Guest Wi-Fi captive portal broken|Visitors and guests cannot access the guest Wi-Fi because the captive portal sign-in page fails to load after connecting to the network.|Network|Networking|Low|guest wifi captive portal broken visitors guests cannot access guest wifi captive portal signin page fails load connecting network
58|External user access expired|A temporary contractor's access to the codebase repository (GitHub) has expired, but they require a 2-week extension to finish a task.|Account/Access|Security & Access|Medium|external user access expired temporary contractors access codebase repository github expired require week extension finish task
59|Stale statistics affecting query plan|The query optimizer is selecting a very inefficient plan for a high-traffic query, likely due to stale table statistics. Need to manually update stats.|Database|Database Ops|Low|stale statistics affecting query plan query optimizer selecting inefficient plan hightraffic query likely due stale table statistics need manually update stats
60|Visual Studio Code not launching|Visual Studio Code crashes immediately upon launch. It was working yesterday. I tried reinstalling it, but the issue persists.|Software|Application Support|Medium|visual studio code launching visual studio code crashes immediately upon launch working yesterday tried reinstalling issue persists
61|Broken laptop hinge|The hinge on my company-issued laptop is cracked and loose, making it difficult to open and close the lid safely. Afraid the wires will tear.|Hardware|Desktop Support|Medium|broken laptop hinge hinge companyissued laptop cracked loose making difficult open close lid safely afraid wires tear
62|Request to delete a shared resource|I need the 'Legacy_Finance_Reports' shared drive folder permanently deleted as it contains outdated and sensitive information. Confirmed with manager.|Account/Access|Security & Access|Low|request delete shared resource need legacyfinancereports shared drive folder permanently deleted contains outdated sensitive information confirmed manager
63|DHCP server scope exhausted|The DHCP server for the main office is reporting 100% address utilization. No new devices can connect to the network. Need to expand the scope immediately.|Network|Networking|High|dhcp server scope exhausted dhcp server main office reporting address utilization new devices connect network need expand scope immediately
64|Table locked by unknown process|The 'Inventory' table is currently locked, preventing all write operations. We cannot process shipments. Need to identify and kill the locking session.|Database|Database Ops|High|table locked unknown process inventory table currently locked preventing write operations cannot process shipments need identify kill locking session
65|Out of memory error in custom application|Our proprietary Java application throws an 'Out of Memory' error when processing large datasets. Need to investigate JVM heap size configuration.|Software|Application Support|High|memory error custom application proprietary java application throws memory error processing large datasets need investigate jvm heap size configuration
66|Missing cable from monitor box|I received a new monitor, but the box did not contain the HDMI cable as listed on the packing slip. I only have a VGA cable. Requesting an HDMI cable.|Hardware|Desktop Support|Low|missing cable monitor box received new monitor box contain hdmi cable listed packing slip vga cable requesting hdmi cable
67|Manager approval pending for 3 days|My request for access to the SAP system has been stuck with my manager for approval for 3 days. Can someone escalate the approval notification to their inbox?|Account/Access|Security & Access|Low|manager approval pending days request access sap system stuck manager approval days someone escalate approval notification inbox
68|High packet loss on WAN link|Network monitoring is reporting 25% packet loss on the primary WAN link connecting HQ to the secondary office. All cross-site services are degraded.|Network|Networking|Critical|high packet loss wan link network monitoring reporting packet loss primary wan link connecting hq secondary office crosssite services degraded
69|Database server restart loop|The secondary database replica server keeps restarting unexpectedly every 10-15 minutes, which is preventing failover capability. Check logs for kernel or service failure.|Database|Database Ops|Critical|database server restart loop secondary database replica server keeps restarting unexpectedly every minutes preventing failover capability check logs kernel service failure
70|Malware detection notification|I received a notification from our endpoint protection software about a quarantined threat on my local drive. Please check and confirm the system is clean.|Software|Application Support|High|malware detection notification received notification endpoint protection software quarantined threat local drive please check confirm system clean
71|Projector bulb burnout|The bulb in the main conference room projector (Room A) has burned out. The screen is completely dark. We have a presentation scheduled tomorrow.|Hardware|Desktop Support|Medium|projector bulb burnout bulb main conference room projector room burned screen completely dark presentation scheduled tomorrow
72|User account not showing in Global Address List|A newly created user's account is not appearing in the company's Global Address List (GAL) in Outlook. This prevents others from sending them email easily.|Account/Access|Security & Access|Low|user account showing global address list newly created users account appearing companys global address list gal outlook prevents others sending email easily
73|Fiber line cut between buildings|Physical fiber optic line appears to have been cut between Building 1 and Building 2, according to the security camera footage. All connectivity between the two is lost.|Network|Networking|Critical|fiber line cut buildings physical fiber optic line appears cut building building according security camera footage connectivity two lost
74|Permission denied writing to log file|The web application is throwing 500 errors because the application pool user does not have write permissions to the main log directory on the server.|Database|Database Ops|Medium|permission denied writing log file web application throwing errors application pool user write permissions main log directory server
75|Printing colors are inaccurate|When I print documents, the red color appears pink, and blue is slightly purple. I've tried cleaning the print heads, but it didn't fix the color calibration.|Hardware|Desktop Support|Low|printing colors inaccurate print documents red color appears pink blue slightly purple ive tried cleaning print heads didnt fix color calibration
76|Browser extension installation blocked|I need to install the 'LastPass' browser extension, but the installation is blocked by GPO. Requesting an exception for this security-approved tool.|Software|Application Support|Low|browser extension installation blocked need install lastpass browser extension installation blocked gpo requesting exception securityapproved tool
77|Temporary access to vendor SFTP|Need to grant SFTP access to external vendor 'SecureTech' for 48 hours to upload final files for project completion. Need to revoke access afterwards.|Account/Access|Security & Access|Medium|temporary access vendor sftp need grant sftp access external vendor securetech hours upload final files project completion need revoke access afterwards
78|Inconsistent Wi-Fi signal in cafeteria|The Wi-Fi signal strength in the cafeteria is very weak and unstable. Users frequently disconnect. Check access point coverage and power levels.|Network|Networking|Medium|inconsistent wifi signal cafeteria wifi signal strength cafeteria weak unstable users frequently disconnect check access point coverage power levels
79|Disk space low on file share|The primary file share server (FS-01) is down to 5% free disk space. This is blocking all new file saves. Need immediate disk cleanup or volume expansion.|Database|Database Ops|High|disk space low file share primary file share server fs free disk space blocking new file saves need immediate disk cleanup volume expansion
80|System reboots randomly|My desktop computer reboots itself without any warning, usually while I am in the middle of a meeting or working in a large document. Suspect RAM or heat issue.|Hardware|Desktop Support|High|system reboots randomly desktop computer reboots without warning usually middle meeting working large document suspect ram heat issue
81|Microsoft Publisher will not open files|Any file I try to open in Microsoft Publisher gives a generic 'File not supported' error. I can create new files but cannot open existing ones.|Software|Application Support|Low|microsoft publisher open files file try open microsoft publisher gives generic file supported error create new files cannot open existing ones
82|Privileged access audit required|We need a full audit report of all current users who possess 'db_owner' privileges on the production database for compliance purposes.|Account/Access|Security & Access|Medium|privileged access audit required need full audit report current users possess dbowner privileges production database compliance purposes
83|High number of connection pool timeouts|The web application's connection pool to the database is consistently hitting timeout limits during peak hours. This causes user sessions to fail.|Database|Database Ops|Medium|high number connection pool timeouts web applications connection pool database consistently hitting timeout limits peak hours causes user sessions fail
84|PoE switch failure on 2nd floor|The main Power over Ethernet (PoE) switch serving the desk phones and access points on the 2nd floor is completely unresponsive. All network devices are down.|Network|Networking|Critical|poe switch failure nd floor main power ethernet poe switch serving desk phones access points nd floor completely unresponsive network devices
85|Laptop screen cracked|I accidentally dropped my laptop and the screen is severely cracked and unusable. I need an urgent replacement device to continue working.|Hardware|Desktop Support|Critical|laptop screen cracked accidentally dropped laptop screen severely cracked unusable need urgent replacement device continue working
86|Adobe Photoshop not launching|When I click the icon for Photoshop, nothing happens. No error message, no splash screen. I need it for an urgent marketing deliverable today.|Software|Application Support|Medium|adobe photoshop launching click icon photoshop nothing happens error message splash screen need urgent marketing deliverable today
87|Account suspension due to inactivity|My account has been automatically suspended due to 90 days of inactivity. I have now returned and need it reactivated.|Account/Access|Security & Access|Low|account suspension due inactivity account automatically suspended due days inactivity returned need reactivated
88|Slow file transfer speeds across network|Transferring files from the shared drive to my local computer is extremely slow (under 1MB/s). All other network traffic seems fine.|Network|Networking|Low|slow file transfer speeds across network transferring files shared drive local computer extremely slow mbs network traffic seems fine
89|Log file growth exceeding disk space|The main database transaction log file (LDF) is growing excessively fast and will consume all remaining disk space within the next hour. Need an urgent log shrink operation.|Database|Database Ops|Critical|log file growth exceeding disk space main database transaction log file ldf growing excessively fast consume remaining disk space within next hour need urgent log shrink operation
90|External speaker static noise|My external speakers emit a loud static/hissing noise whenever any audio is played, even at low volumes. I tried plugging them into a different outlet.|Hardware|Desktop Support|Low|external speaker static noise external speakers emit loud statichissing noise whenever audio played even low volumes tried plugging different outlet
91|SharePoint site collection permissions issue|A specific SharePoint Online site collection is giving 'Restricted Access' to all members of a security group that should have full control.|Account/Access|Security & Access|High|sharepoint site collection permissions issue specific sharepoint online site collection giving restricted access members security group full control
92|Exchange queue stuck on outbound messages|The Exchange mail queue is building up with thousands of outbound emails and none are being delivered. Suspected external connectivity or relay issue.|Network|Networking|High|exchange queue stuck outbound messages exchange mail queue building thousands outbound emails none delivered suspected external connectivity relay issue
93|System clock keeps resetting|The system clock on my desktop reverts to a date in 2018 every time I reboot the machine. This breaks SSL/TLS connections to websites. Likely a CMOS battery issue.|Hardware|Desktop Support|Medium|system clock keeps resetting system clock desktop reverts date every time reboot machine breaks ssltls connections websites likely cmos battery issue
94|New hire access group creation|Need to create a new security group 'New_Hires_Q4' and add 15 users to it for initial access provisioning. Requesting assistance with the PowerShell script.|Account/Access|Security & Access|Low|new hire access group creation need create new security group newhiresq add users initial access provisioning requesting assistance powershell script
95|Missing primary key on table|One of the core application tables (`invoices`) is missing its primary key, which is causing slow lookups and is a major data integrity violation.|Database|Database Ops|High|missing primary key table one core application tables invoices missing primary key causing slow lookups major data integrity violation
96|PDF editor corrupting files on save|When I edit a PDF document and save it in the Nitro PDF application, the resulting file is corrupted and unreadable. I need a fix or a different editor.|Software|Application Support|Low|pdf editor corrupting files save edit pdf document save nitro pdf application resulting file corrupted unreadable need fix different editor
97|Server room air conditioning failure|The HVAC unit in Server Room B has failed. Temperature is rapidly rising (already 95°F). Emergency procedure required to prevent hardware damage.|Hardware|Desktop Support|Critical|server room air conditioning failure hvac unit server room b failed temperature rapidly rising already f emergency procedure required prevent hardware damage
98|User requires role-based access review|User T. Jones is requesting access to a sensitive system, but their current role does not justify it. A full review of their job duties is needed before granting access.|Account/Access|Security & Access|Medium|user requires rolebased access review user jones requesting access sensitive system current role justify full review job duties needed granting access
99|Unusually high inbound network traffic|Network monitoring shows an abnormal spike in inbound traffic (10x normal). Investigating for potential DDoS or network intrusion. This is a severe threat.|Network|Networking|Critical|unusually high inbound network traffic network monitoring shows abnormal spike inbound traffic x normal investigating potential ddos network intrusion severe threat
100|Unable to install application due to missing dependency|Trying to install the latest version of MATLAB, but the installation fails with a 'missing .dll file' dependency error. The installer package seems incomplete.|Software|Application Support|Medium|unable install application due missing dependency trying install latest version matlab installation fails missing dll file dependency error installer package seems incomplete
101|External Monitor Not Detected|My laptop is connected to the docking station, but the external display in port 1 is not being recognized by the operating system. I have tried swapping the HDMI cable.|Hardware|Desktop Support|Medium|external monitor detected laptop connected docking station external display port recognized operating system tried swapping hdmi cable
102|Server backup job failed overnight|The nightly backup job for the 'Finance' file server failed with an error code 41. The server's disk space is sufficient, and the target storage is available.|Database|Database Ops|Medium|server backup job failed overnight nightly backup job finance file server failed error code servers disk space sufficient target storage available
103|User account locked out|User B. Martin is locked out of his Active Directory account. He attempted to log in multiple times unsuccessfully. Please unlock his account immediately.|Account/Access|Security & Access|Low|user account locked user b martin locked active directory account attempted log multiple times unsuccessfully please unlock account immediately
104|Intermittent VoIP audio quality issues|Users across multiple departments are reporting occasional choppy and robotic audio during VoIP calls. This seems to happen randomly throughout the day.|Network|Networking|Medium|intermittent voip audio quality issues users across multiple departments reporting occasional choppy robotic audio voip calls seems happen randomly throughout day
105|Salesforce plugin causing browser crashes|The new third-party plugin for Salesforce, installed yesterday, causes Chrome to crash instantly when loading the dashboard page. This is affecting 5 sales reps.|Software|Application Support|High|salesforce plugin causing browser crashes new thirdparty plugin salesforce installed yesterday causes chrome crash instantly loading dashboard page affecting sales reps
106|Headset microphone stopped working|The microphone on my USB headset is no longer picking up sound. The system shows it as the default input device, and I have checked the mute switch.|Hardware|Desktop Support|Low|headset microphone stopped working microphone usb headset longer picking sound system shows default input device checked mute switch
107|Request for Project Titan access group|I need to be added to the 'Project_Titan_Dev' security group to access the required source code repository. Manager approval is attached.|Account/Access|Security & Access|Low|request project titan access group need added projecttitandev security group access required source code repository manager approval attached
108|High CPU usage on web server|One of our primary web application servers (Web-03) is showing sustained 95% CPU usage. Performance is severely degraded, impacting external users.|Database|Database Ops|High|high cpu usage web server one primary web application servers web showing sustained cpu usage performance severely degraded impacting external users
109|Local files not syncing to OneDrive|My files in the local OneDrive folder are not syncing to the cloud. The sync icon shows a perpetual 'syncing' status. I have tried pausing and resuming sync.|Software|Application Support|Medium|local files syncing onedrive files local onedrive folder syncing cloud sync icon shows perpetual syncing status tried pausing resuming sync
110|Power strip sparking and smelling burnt|The power strip under my desk made a loud pop and is now emitting a burning smell. I have unplugged all devices. This needs urgent replacement for safety.|Hardware|Desktop Support|High|power strip sparking smelling burnt power strip desk made loud pop emitting burning smell unplugged devices needs urgent replacement safety
111|Firewall logs showing excessive blocked traffic|Security monitoring has flagged an unusual volume of external IP addresses being blocked by the main corporate firewall, potentially indicating a probe attempt.|Network|Networking|Critical|firewall logs showing excessive blocked traffic security monitoring flagged unusual volume external ip addresses blocked main corporate firewall potentially indicating probe attempt
112|Expired SSL certificate on Intranet|The SSL certificate for our internal Intranet site expired an hour ago. Users are now receiving security warnings when trying to access documentation.|Network|Networking|High|expired ssl certificate intranet ssl certificate internal intranet site expired hour ago users receiving security warnings trying access documentation
113|Table column needs modification|Need to alter the data type of the 'ProductCode' column in the `Products` table from VARCHAR(50) to VARCHAR(100) to support new product codes.|Database|Database Ops|Medium|table column needs modification need alter data type productcode column products table varchar varchar support new product codes
114|Cannot log in to VPN - credentials rejected|My username and password work fine for all other systems, but the VPN client rejects my credentials with an 'Invalid User/Password' error.|Account/Access|Security & Access|Medium|cannot log vpn credentials rejected username password work fine systems vpn client rejects credentials invalid userpassword error
115|Mouse scroll wheel broken|The scroll wheel on my wireless mouse spins freely without moving the screen up or down. Need a replacement mouse.|Hardware|Desktop Support|Low|mouse scroll wheel broken scroll wheel wireless mouse spins freely without moving screen need replacement mouse
116|Jira instance throwing 500 error|The company's internal Jira server is completely inaccessible and displaying a generic 500 server error page. Development work is halted.|Software|Application Support|Critical|jira instance throwing error companys internal jira server completely inaccessible displaying generic server error page development work halted
117|Shared drive access needed for new project|I need read/write access to the `Marketing_2024` shared folder for my new role as Marketing Coordinator. My old access was revoked.|Account/Access|Security & Access|Low|shared drive access needed new project need readwrite access marketing shared folder new role marketing coordinator old access revoked
118|DHCP pool nearing exhaustion on remote site|The IP address pool for the DHCP server at the Dallas branch office is nearly 90% full. We expect more new hires soon and need to expand the scope.|Network|Networking|Medium|dhcp pool nearing exhaustion remote site ip address pool dhcp server dallas branch office nearly full expect new hires soon need expand scope
